,rel_hum,sp_hum,abs_hum,u_wind,v_wind,temp
0,5.0,0.00178,1.64996645841,3.1,-2.4,304.7
1,8.0,0.00234,2.14719038128,4.1,-2.6,300.9
2,21.0,0.0034,3.33143511093,0.7,-1.9,291.7
3,23.0,0.00368,3.60571440915,-1.2,1.7,291.5
4,9.0,0.00332,2.96993962514,2.0,-0.1,304.7
5,12.0,0.00327,3.03041462344,0.4,-1.60000152588,299.8
6,29.0,0.00393,3.89030828777,-1.0,0.299998474121,288.9
7,20.0,0.0033,3.26797018385,0.9,2.1,292.2
8,8.0,0.00281,2.65412693744,5.1,-2.1,304.8
9,11.0,0.00312,3.00158825588,4.3,-2.7,301.2
10,25.0,0.00338,3.4151230943,0.4,-1.4,289.2
11,22.0,0.00342,3.34795151388,-1.8,1.1,291.0
12,8.0,0.00278,2.5838733382,3.0,-1.8,304.3
13,11.0,0.00312,2.98510984371,0.7,-3.4,301.1
14,21.0,0.0034,3.35121742848,-3.1,-1.9,291.8
15,20.0,0.00315,3.17279534375,-4.0,-0.5,291.7
16,8.0,0.00287,2.66837297735,-1.5,-2.3,304.9
17,10.0,0.00285,2.69882677421,-0.1,-3.0,301.0
18,16.0,0.00278,2.69248780942,-4.2,-3.7,292.7
19,13.0,0.00216,2.0992448207,-5.1,-3.0,292.0
20,7.0,0.00236,2.13055761506,-5.80000152588,-1.2,303.2
21,11.0,0.00262,2.5687024506,-3.5,2.3,298.4
22,30.0,0.00454,4.43118280159,-2.4,1.4,290.5
23,74.0,0.00749,7.56903310246,-10.8,-2.1,284.5
24,79.0,0.00676,6.98531133929,-10.1,-1.8,282.2
25,77.0,0.00689,7.02910811898,-7.1,-0.1,282.7
26,90.0,0.00694,7.13317175251,-2.1,1.0,280.5
27,89.0,0.00776,7.97068762982,-0.2,-0.400001525879,282.4
28,26.0,0.00542,5.26819768552,6.8,-2.4,295.9
29,39.0,0.00633,6.29773446209,4.99999847412,-2.8,292.0
30,77.0,0.00701,7.16446343639,1.8,-0.2,283.0
31,77.0,0.00808,8.1263216243,1.79999847412,-0.4,285.0
32,20.0,0.00441,4.26622340342,8.8,-2.6,296.8
33,22.0,0.00423,4.1121826675,4.19999847412,-4.0,294.5
34,57.0,0.00583,5.97810599061,-4.5,-0.3,284.9
35,53.0,0.00553,5.59344215698,-5.3,1.6,285.0
36,17.0,0.00411,4.05995773485,-3.7,0.3,298.8
37,17.0,0.00402,3.85956582778,-5.1,0.1,297.9
38,37.0,0.00461,4.58586358981,-5.6,1.8,287.6
39,32.0,0.00381,3.87010769067,-4.40000152588,1.3,287.2
40,11.0,0.00342,3.34801910938,0.7,-0.2,303.2
41,20.0,0.00481,4.69668884464,0.5,-1.1,298.5
42,39.0,0.00516,5.16876291896,-1.1,1.6,288.7
43,27.0,0.00383,3.80121407095,-0.5,2.6,289.7
44,9.0,0.00305,2.73928836222,3.7,-0.5,303.2
45,10.0,0.0029,2.6839879766,4.0,-2.30000152588,300.9
46,33.0,0.00437,4.32079378224,0.2,-1.7,288.5
47,28.0,0.00398,3.96578173126,-1.4,1.9,289.8
48,9.0,0.00287,2.76912170872,0.299998474121,-1.8,303.4
49,9.0,0.00242,2.38906910194,-0.9,-2.4,300.7
50,18.0,0.0027,2.6113882517,-4.60000152588,-0.2,290.2
51,20.0,0.00293,2.86694252534,-5.0,-0.4,290.0
52,7.0,0.00255,2.26088917093,-0.6,-1.9,304.3
53,11.0,0.00318,2.98510984371,0.199998474121,-3.4,301.1
54,22.0,0.00339,3.40823454416,-3.60000152588,-1.1,291.3
55,20.0,0.00319,3.17279534375,-3.2,2.4,291.7
56,8.0,0.00302,2.74059342671,-1.20000152588,0.4,305.4
57,9.0,0.00293,2.66591233623,-1.6,-0.7,302.7
58,19.0,0.00311,3.06812704563,-4.9,0.7,292.0
59,24.0,0.00407,3.96807275947,-5.6,0.3,292.4
60,9.0,0.00331,3.13281778507,-4.50000152588,0.2,305.7
61,12.0,0.00381,3.49693873067,0.9,-0.300001525879,302.4
62,22.0,0.00399,3.83471589271,1.2,2.0,293.3
63,19.0,0.0033,3.21616618752,3.1,1.7,292.8
64,10.0,0.00321,3.12710647206,4.9,-1.7,303.7
65,15.0,0.00408,3.76699974949,1.0,-0.200001525879,299.7
66,27.0,0.0042,4.15804473578,-4.5,-0.6,291.2
67,31.0,0.00472,4.71756804229,-4.6,0.0,291.0
68,14.0,0.00466,4.28426487101,-3.4,-0.9,303.3
69,18.0,0.00479,4.62201830566,2.4,-1.3,300.1
70,41.0,0.0056,5.53348509349,8.69999847412,2.1,289.0
71,76.0,0.00742,7.53307992252,1.2,-1.4,284.0
72,35.0,0.0065,6.39199270989,4.99999847412,-1.0,294.1
73,30.0,0.00564,5.4470854456,5.1,-0.3,294.0
74,59.0,0.00628,6.38397995076,2.1,-0.7,285.4
75,82.0,0.00849,8.546452575,0.5,0.2,284.8
76,27.0,0.00559,5.40841757415,-0.500001525879,0.399998474121,295.7
77,31.0,0.00548,5.43514778515,-1.3,2.8,293.4
78,51.0,0.00545,5.51835555066,0.7,3.19999847412,285.4
79,43.0,0.00458,4.62383343169,0.599998474121,3.4,285.3
80,18.0,0.00425,4.10971891134,0.9,1.2,298.0
81,15.0,0.00316,3.03934481857,3.6,2.2,295.9
82,25.0,0.003,3.06083915546,2.3,3.0,287.4
83,24.0,0.0029,2.92044541637,2.2,3.3,287.3
84,14.0,0.00358,3.41918195778,7.49999847412,1.99999847412,299.2
85,15.0,0.00345,3.21792425019,5.9,0.599998474121,296.9
86,37.0,0.00423,4.25970461642,0.9,1.7,286.4
87,28.0,0.00371,3.64391531294,1.39999847412,3.4,288.4
88,10.0,0.00311,2.93004368029,6.0,-0.700001525879,302.5
89,9.0,0.00252,2.31100915283,3.8,-2.1,300.1
90,30.0,0.00369,3.71826777552,-1.7,0.1,287.6
91,19.0,0.00269,2.69106617478,-2.8,2.3,289.8
92,7.0,0.0025,2.35992956356,-1.2,-0.6,305.1
93,8.0,0.0023,2.29342233186,-2.40000152588,-0.1,302.1
94,18.0,0.00299,2.85551580937,-6.0,1.1,291.7
95,19.0,0.00334,3.19732927369,-4.8,0.8,292.7
96,7.0,0.00257,2.51547500963,-1.10000152588,-1.52587890625e-06,306.3
97,16.0,0.00464,4.34197795449,3.0,-3.9,301.1
98,28.0,0.00497,4.90916574142,0.7,-3.3,293.4
99,50.0,0.00745,7.42957768891,-0.6,0.5,290.6
100,15.0,0.00478,4.61520894581,4.6,-0.1,303.400024414
101,13.0,0.00388,3.56689862974,4.6,-1.8,301.3
102,27.0,0.00405,4.06016601902,2.8,-0.8,290.800024414
103,39.0,0.00599,5.97045176579,0.5,1.5,291.100024414
104,14.0,0.0046,4.30752265802,4.09999847412,-1.8,303.4
105,13.0,0.00386,3.56689862974,2.6,-1.1,301.3
106,28.0,0.00404,4.06215950265,-0.5,-1.90000152588,290.2
107,29.0,0.0043,4.33496686615,-1.8,0.2,290.7
108,13.0,0.00413,4.04333831128,3.89999847412,-2.0,303.6
109,14.0,0.0041,3.82020323476,3.4,-1.6,301.2
110,45.0,0.00635,6.25951133968,1.1,0.2,289.5
111,26.0,0.00418,4.17375075061,2.19999847412,2.29999847412,291.900024414
112,10.0,0.0035,3.28228864743,4.7,-1.40000152588,304.6
113,10.0,0.00275,2.72871659625,0.9,-1.6,301.2
114,15.0,0.00256,2.46547442839,-5.0,0.2,292.3
115,17.0,0.00262,2.63363578412,-3.5,1.8,291.3
116,6.0,0.00244,2.1221022555,-2.3,1.0,306.0
117,8.0,0.00243,2.28091725171,-0.6,-1.9,302.0
118,14.0,0.00247,2.36980666449,-2.40000152588,0.4,292.8
119,24.0,0.00397,3.96807275947,-0.600001525879,0.899998474121,292.4
120,7.0,0.00273,2.47578596475,5.1,-1.1,306.0
121,11.0,0.00329,3.20552716978,4.39999847412,-3.7,302.4
122,16.0,0.00293,2.90511223765,1.9,-1.90000152588,294.0
123,17.0,0.003,2.96318955346,0.8,2.4,293.3
124,8.0,0.00305,2.74059342671,4.5,0.0,305.4
125,10.0,0.00311,2.89826214971,2.3,-0.4,302.3
126,23.0,0.00346,3.4380771697,-1.6,-0.5,290.7
127,22.0,0.00358,3.5525681581,-2.2,0.6,292.0
128,7.0,0.00294,2.6378380479,-0.9,0.8,307.2
129,9.0,0.00297,2.68045061908,-0.3,-0.6,302.8
130,15.0,0.00261,2.55402566706,-3.7,1.0,292.9
131,19.0,0.00311,3.08630273076,-0.5,2.7,292.1
132,11.0,0.00367,3.55282584003,5.0,0.8,304.3
133,18.0,0.00478,4.54562193516,9.6,-1.3,299.8
134,34.0,0.00546,5.39375208437,3.4,-1.30000152588,291.7
135,50.0,0.00719,7.16735631334,0.7,-0.5,290.0
136,17.0,0.00512,4.90022112421,0.4,-1.00000152588,302.2
137,22.0,0.00533,5.13740490119,1.49999847412,-0.200001525879,298.4
138,32.0,0.00521,5.13691658441,0.3,-2.6,291.9
139,52.0,0.00728,7.23321310363,0.3,-0.6,289.5
140,51.0,0.00721,7.18007102291,4.4,1.59999847412,289.7
141,50.0,0.00741,7.38530466932,-1.1,0.4,290.5
142,82.0,0.00759,7.72712382152,0.299998474121,1.0,283.2
143,82.0,0.00892,8.98376474438,-0.600001525879,-0.2,285.6
144,14.0,0.00406,3.75758316724,-1.2,-1.7,300.9
145,20.0,0.0048,4.72313754756,0.5,-0.8,298.6
146,66.0,0.0087,8.64158756449,0.0,0.999998474121,288.5
